0,00,0,00,0,80
300,01,0,06,0,80
600,01,0,00,0,80
900,01,0,00,0,80
1200,01,0,00,0,80
1500,01,0,00,0,80
1800,01,0,00,0,80
2100,01,0,00,0,80
2400,01,0,00,0,80
2700,01,0,00,0,80
3000,01,0,00,0,80
3300,01,0,00,0,80
3600,01,0,00,0,80
3900,01,0,00,0,80
4200,01,0,00,0,80
4500,01,0,00,0,80
4800,01,0,00,0,80
5100,01,0,00,0,80
5400,01,0,00,0,80
5700,01,0,00,0,80
6000,01,0,00,0,80
6300,01,0,00,0,80
6600,01,0,00,0,80
6900,01,0,00,0,80
7200,01,0,00,0,80
7500,01,0,00,0,80
7800,01,0,00,0,80
8100,01,0,00,0,80
8400,01,0,00,0,80
8700,01,0,00,0,80
9000,01,0,00,0,80
9300,01,0,00,0,80
9600,01,0,00,0,80
9900,01,0,00,0,80
10200,01,0,00,0,80
10500,01,0,00,0,80
10800,01,0,00,0,80
11100,01,0,00,0,80
11400,01,0,00,0,80
11700,01,0,00,0,80
12000,01,0,00,0,80
12300,01,0,00,0,80
12600,01,0,00,0,80
12900,01,0,00,0,80
13200,01,0,00,0,80
13500,01,0,00,0,80
13800,01,0,00,0,80
14100,01,0,00,0,80
14400,01,0,00,0,80
14700,01,0,00,0,80
15000,01,0,00,0,80
15300,01,0,00,0,80
15600,01,0,00,0,80
15900,01,0,00,0,80
16200,01,0,00,0,80
16500,01,0,00,0,80
16800,01,0,00,0,80
17100,01,0,00,0,80
17400,01,0,00,0,80
17700,01,0,00,0,80
18000,01,0,00,0,80
18300,01,0,00,0,80
18600,01,0,00,0,80
18900,01,0,00,0,80
19200,01,0,00,0,80
19500,01,0,00,0,80
19800,01,0,00,0,80
20100,01,0,00,0,80
20400,01,0,00,0,80
20700,01,0,00,0,80
21000,01,0,00,0,80
21300,01,0,00,0,80
21600,01,0,00,0,80
21900,01,0,00,0,80
22200,01,0,00,0,80
22500,01,0,00,0,80
22800,01,0,00,0,80
23100,01,0,00,0,80
23400,01,0,00,0,80
23700,01,0,00,0,80
24000,01,0,00,0,80
24300,01,0,00,0,80
24600,01,0,00,0,80
24900,01,0,00,0,80
25200,01,0,00,0,80
25500,01,0,00,0,80
25800,01,0,00,0,80
26100,01,0,00,0,80
26400,01,0,00,0,80
26700,01,0,00,0,80
27000,01,0,00,0,80
27300,01,0,00,0,80
27600,01,0,00,0,80
27900,01,0,00,0,80
28200,01,0,00,0,80
28500,01,0,00,0,80
28800,01,0,00,0,80
29100,01,0,00,0,80
29400,01,0,00,0,80
29700,01,0,00,0,80
30000,01,0,00,0,80
30300,01,0,00,0,80
30600,01,0,00,0,80
30900,01,0,00,0,80
31200,01,0,00,0,80
31500,01,0,00,0,80
31800,01,0,00,0,80
32100,01,0,00,0,80
32400,01,0,00,0,80
32700,01,0,00,0,80
33000,01,0,00,0,80
33300,01,0,00,0,80
33600,01,0,00,0,80
33900,01,0,00,0,80
34200,01,0,00,0,80
34500,01,0,00,0,80
34800,01,0,00,0,80
35100,01,0,00,0,80
35400,01,0,00,0,80
35700,01,0,00,0,80
36000,01,0,00,0,80
36300,01,0,00,0,80
36600,01,0,00,0,80
36900,01,0,00,0,80
37200,01,0,00,0,80
37500,01,0,00,0,80
37800,01,0,00,0,80
38100,01,0,00,0,80
38400,01,0,00,0,80
38700,01,0,00,0,80
39000,01,0,00,0,80
39300,01,0,00,0,80
39600,01,0,00,0,80
39900,01,0,00,0,80
40200,01,0,00,0,80
40500,01,0,00,0,80
40800,01,0,00,0,80
41100,01,0,00,0,80
41400,01,0,00,0,80
41700,01,0,00,0,80
42000,01,0,00,0,80
42300,01,0,00,0,80
42600,01,0,00,0,80
42900,01,0,00,0,80
43200,01,0,00,0,80
43500,01,0,00,0,80
43800,01,0,00,0,80
44100,01,0,00,0,80
44400,01,0,00,0,80
44700,01,0,00,0,80
45000,01,0,00,0,80
45300,01,0,00,0,80
45600,01,0,00,0,80
45900,01,0,00,0,80
46200,01,0,00,0,80
46500,01,0,00,0,80
46800,01,0,00,0,80
47100,01,0,00,0,80
47400,01,0,00,0,80
47700,01,0,00,0,80
48000,01,0,00,0,80
48300,01,0,00,0,80
48600,01,0,00,0,80
48900,01,0,00,0,80
49200,01,0,00,0,80
49500,01,0,00,0,80
49800,01,0,00,0,80
50100,01,0,00,0,80
50400,01,0,00,0,80
50700,01,0,00,0,80
51000,01,0,00,0,80
51300,01,0,00,0,80
51600,01,0,00,0,80
51900,01,0,00,0,80
